text,decade,book_title,passage_id,decade_id,book_id
"may be apprehensive of persecution) blasphemy we know is freely spoke a million of times in every coffee-house and tavern, or wherever else good company meet. It must be allowed, indeed, that to break an English free-born officer only for blasphemy was, to speak the gentlest of such an action, a very high strain of absolute power. Little can be said in excuse for the general; perhaps he was afraid it might give offence to the allies, among whom, for aught we know, it may be the custom of the country to believe a God. But if he argued, as some have done, upon a mistaken principle, that an officer who is guilty of speaking blasphemy may, some time or other, proceed so far as to raise a mutiny, the consequence is by no means to be admitted: for surely the commander of an English army is like to be but ill obeyed whose soldiers fear and reverence him as little as they do a Deity. It is further objected against the Gospel system that it obliges men to the belief of things too difficult for Freethinkers, and such who have shook off the prejudices that usually cling to a confined education. To which I answer, that men should be cautious how they raise objections which reflect upon the wisdom of the nation. Is not everybody freely allowed to believe whatever he pleases, and to publish his belief to the world whenever he thinks fit, especially if it serves to strengthen the party which is in the right? Would any indifferent foreigner, who should read the trumpery lately written by Asg",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_0,0,1700_The_Battle_of_the_Bo
"ovements in the mathematics) is all built with my own hands, and the materials extracted altogether out of my own person."" ""I am glad,"" answered the bee, ""to hear you grant at least that I am come honestly by my wings and my voice; for then, it seems, I am obliged to Heaven alone for my flights and my music; and Providence would never have bestowed on me two such gifts without designing them for the noblest ends. I visit, indeed, all the flowers and blossoms of the field and garden, but whatever I collect thence enriches myself without the least injury to their beauty, their smell, or their taste. Now, for you and your skill in architecture and other mathematics, I have little to say: in that building of yours there might, for aught I know, have been labour and method enough; but, by woeful experience for us both, it is too plain the materials are naught; and I hope you will henceforth take warning, and consider duration and matter, as well as method and art. You boast, indeed, of being obliged to no other creature, but of drawing and spinning out all from yourself; that is to say, if we may judge of the liquor in the vessel by what issues out, you possess a good plentiful store of dirt and poison in your breast; and, though I would by no means lesson or disparage your genuine stock of either, yet I doubt you are somewhat obliged, for an increase of both, to a little foreign assistance. Your inherent portion of dirt does not fall of acquisitions, by sweepings exhaled from bel",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_1,0,1700_The_Battle_of_the_Bo
", , he obtained from Lord Berkeley the vicarage of Laracor with the living of Rathbeggan, also in the diocese of Meath. In the beginning of Esther Johnson, to whom Sir William Temple had bequeathed a leasehold farm in Wicklow, came with an elder friend, Miss Dingley, and settled in Laracor to be near Swift. During one of the visits to London, made from Laracor, Swift attacked the false pretensions of astrologers by that prediction of the death of Mr. Partridge, a prophetic almanac maker, of which he described the Accomplishment so clearly that Partridge had much ado to get credit for being alive. The lines addressed to Stella speak for themselves. ""Cadenus and Vanessa"" was meant as polite and courteous admonition to Miss Hester Van Homrigh, a young lady in whom green-sickness seems to have produced devotion to Swift in forms that embarrassed him, and with which he did not well know how to deal. H. M. THE BOOKSELLER TO THE READER. This discourse, as it is unquestionably of the same author, so it seems to have been written about the same time, with ""The Tale of a Tub;"" I mean the year , when the famous dispute was on foot about ancient and modern learning. The controversy took its rise from an essay of Sir William Temple's upon that subject; which was answered by W. Wotton, B.D., with an appendix by Dr. Bentley, endeavouring to destroy the credit of AEsop and Phalaris for authors, whom Sir William Temple had, in the essay before mentioned, highly commended. In that appendix the",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_2,0,1700_The_Battle_of_the_Bo
" time with a supercilious and impatient silence, full of anger and contempt for those who are talking; at length of a sudden demand audience; decide the matter in a short dogmatical way; then withdraw within himself again, and vouchsafe to talk no more, until his spirits circulate again to the same point. There are some faults in conversation which none are so subject to as the men of wit, nor ever so much as when they are with each other. If they have opened their mouths without endeavouring to say a witty thing, they think it is so many words lost. It is a torment to the hearers, as much as to themselves, to see them upon the rack for invention, and in perpetual constraint, with so little success. They must do something extraordinary, in order to acquit themselves, and answer their character, else the standers by may be disappointed and be apt to think them only like the rest of mortals. I have known two men of wit industriously brought together, in order to entertain the company, where they have made a very ridiculous figure, and provided all the mirth at their own expense. I know a man of wit, who is never easy but where he can be allowed to dictate and preside; he neither expecteth to be informed or entertained, but to display his own talents. His business is to be good company, and not good conversation, and therefore he chooseth to frequent those who are content to listen, and profess themselves his admirers. And, indeed, the worst conversation I ever remember to have ",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_3,0,1700_The_Battle_of_the_Bo
"ow offer the world, I forbore to publish them till I had perused the several almanacks for the year we are now entered on. I find them all in the usual strain, and I beg the reader will compare their manner with mine. And here I make bold to tell the world that I lay the whole credit of my art upon the truth of these predictions; and I will be content that Partridge, and the rest of his clan, may hoot me for a cheat and impostor if I fail in any single particular of moment. I believe any man who reads this paper will look upon me to be at least a person of as much honesty and understanding as a common maker of almanacks. I do not lurk in the dark; I am not wholly unknown in the world; I have set my name at length, to be a mark of infamy to mankind, if they shall find I deceive them. In one thing I must desire to be forgiven, that I talk more sparingly of home affairs. As it will be imprudence to discover secrets of State, so it would be dangerous to my person; but in smaller matters, and that are not of public consequence, I shall be very free; and the truth of my conjectures will as much appear from those as the others. As for the most signal events abroad, in France, Flanders, Italy, and Spain, I shall make no scruple to predict them in plain terms. Some of them are of importance, and I hope I shall seldom mistake the day they will happen; therefore I think good to inform the reader that I all along make use of the Old Style observed in England, which I desire he will compa",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_4,0,1700_The_Battle_of_the_Bo
" of leaves, and full of boughs; but now in vain does the busy art of man pretend to vie with nature, by tying that withered bundle of twigs to its sapless trunk; it is now at best but the reverse of what it was, a tree turned upside-down, the branches on the earth, and the root in the air; it is now handled by every dirty wench, condemned to do her drudgery, and, by a capricious kind of fate, destined to make other things clean, and be nasty itself; at length, worn to the stumps in the service of the maids, it is either thrown out of doors or condemned to the last use--of kindling a fire. When I behold this I sighed, and said within myself, ""Surely mortal man is a broomstick!"" Nature sent him into the world strong and lusty, in a thriving condition, wearing his own hair on his head, the proper branches of this reasoning vegetable, till the axe of intemperance has lopped off his green boughs, and left him a withered trunk; he then flies to art, and puts on a periwig, valuing himself upon an unnatural bundle of hairs, all covered with powder, that never grew on his head; but now should this our broomstick pretend to enter the scene, proud of those birchen spoils it never bore, and all covered with dust, through the sweepings of the finest lady's chamber, we should be apt to ridicule and despise its vanity. Partial judges that we are of our own excellencies, and other men's defaults! But a broomstick, perhaps you will say, is an emblem of a tree standing on its head; and pray wh",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_5,0,1700_The_Battle_of_the_Bo
", ere his mouth had kissed the liquid crystal, Apollo came, and in the channel held his shield betwixt the Modern and the fountain, so that he drew up nothing but mud. For, although no fountain on earth can compare with the clearness of Helicon, yet there lies at bottom a thick sediment of slime and mud; for so Apollo begged of Jupiter, as a punishment to those who durst attempt to taste it with unhallowed lips, and for a lesson to all not to draw too deep or far from the spring. At the fountain-head Wotton discerned two heroes; the one he could not distinguish, but the other was soon known for Temple, general of the allies to the Ancients. His back was turned, and he was employed in drinking large draughts in his helmet from the fountain, where he had withdrawn himself to rest from the toils of the war. Wotton, observing him, with quaking knees and trembling hands, spoke thus to himself: O that I could kill this destroyer of our army, what renown should I purchase among the chiefs! but to issue out against him, man against man, shield against shield, and lance against lance, what Modern of us dare? for he fights like a god, and Pallas or Apollo are ever at his elbow. But, O mother! if what Fame reports be true, that I am the son of so great a goddess, grant me to hit Temple with this lance, that the stroke may send him to hell, and that I may return in safety and triumph, laden with his spoils. The first part of this prayer the gods granted at the intercession of his mother ",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_6,0,1700_The_Battle_of_the_Bo
"and stature, but without either arms, courage, or discipline. In the last place came infinite swarms of calones, a disorderly rout led by L'Estrange; rogues and ragamuffins, that follow the camp for nothing but the plunder, all without coats to cover them. The army of the Ancients was much fewer in number; Homer led the horse, and Pindar the light-horse; Euclid was chief engineer; Plato and Aristotle commanded the bowmen; Herodotus and Livy the foot; Hippocrates, the dragoons; the allies, led by Vossius and Temple, brought up the rear. All things violently tending to a decisive battle, Fame, who much frequented, and had a large apartment formerly assigned her in the regal library, fled up straight to Jupiter, to whom she delivered a faithful account of all that passed between the two parties below; for among the gods she always tells truth. Jove, in great concern, convokes a council in the Milky Way. The senate assembled, he declares the occasion of convening them; a bloody battle just impendent between two mighty armies of ancient and modern creatures, called books, wherein the celestial interest was but too deeply concerned. Momus, the patron of the Moderns, made an excellent speech in their favour, which was answered by Pallas, the protectress of the Ancients. The assembly was divided in their affections; when Jupiter commanded the Book of Fate to be laid before him. Immediately were brought by Mercury three large volumes in folio, containing memoirs of all things past, pr",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_7,0,1700_The_Battle_of_the_Bo
"t will lie on the watch to hook in their own praise. They will call a witness to remember they always foretold what would happen in such a case, but none would believe them; they advised such a man from the beginning, and told him the consequences just as they happened, but he would have his own way. Others make a vanity of telling their faults. They are the strangest men in the world; they cannot dissemble; they own it is a folly; they have lost abundance of advantages by it; but, if you would give them the world, they cannot help it; there is something in their nature that abhors insincerity and constraint; with many other unsufferable topics of the same altitude. Of such mighty importance every man is to himself, and ready to think he is so to others, without once making this easy and obvious reflection, that his affairs can have no more weight with other men than theirs have with him; and how little that is he is sensible enough. Where company hath met, I often have observed two persons discover by some accident that they were bred together at the same school or university, after which the rest are condemned to silence, and to listen while these two are refreshing each other's memory with the arch tricks and passages of themselves and their comrades. I know a great officer of the army, who will sit for some time with a supercilious and impatient silence, full of anger and contempt for those who are talking; at length of a sudden demand audience; decide the matter in a sho",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_8,0,1700_The_Battle_of_the_Bo
"e the spider was adventured out, when, beholding the chasms, the ruins, and dilapidations of his fortress, he was very near at his wit's end; he stormed and swore like a madman, and swelled till he was ready to burst. At length, casting his eye upon the bee, and wisely gathering causes from events (for they know each other by sight), ""A plague split you,"" said he; ""is it you, with a vengeance, that have made this litter here; could not you look before you, and be d---d? Do you think I have nothing else to do (in the devil's name) but to mend and repair after you?"" ""Good words, friend,"" said the bee, having now pruned himself, and being disposed to droll; ""I'll give you my hand and word to come near your kennel no more; I was never in such a confounded pickle since I was born."" ""Sirrah,"" replied the spider, ""if it were not for breaking an old custom in our family, never to stir abroad against an enemy, I should come and teach you better manners."" ""I pray have patience,"" said the bee, ""or you'll spend your substance, and, for aught I see, you may stand in need of it all, towards the repair of your house."" ""Rogue, rogue,"" replied the spider, ""yet methinks you should have more respect to a person whom all the world allows to be so much your betters."" ""By my troth,"" said the bee, ""the comparison will amount to a very good jest, and you will do me a favour to let me know the reasons that all the world is pleased to use in so hopeful a dispute."" At this the spider, having swelled hi",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_9,0,1700_The_Battle_of_the_Bo
