text,decade,book_title,passage_id,decade_id,book_id
"may be apprehensive of persecution) blasphemy we know is freely spoke a million of times in every coffee-house and tavern, or wherever else good company meet. It must be allowed, indeed, that to break an English free-born officer only for blasphemy was, to speak the gentlest of such an action, a very high strain of absolute power. Little can be said in excuse for the general; perhaps he was afraid it might give offence to the allies, among whom, for aught we know, it may be the custom of the country to believe a God. But if he argued, as some have done, upon a mistaken principle, that an offic",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_0,0,1700_The_Battle_of_the_Bo
"ovements in the mathematics) is all built with my own hands, and the materials extracted altogether out of my own person."" ""I am glad,"" answered the bee, ""to hear you grant at least that I am come honestly by my wings and my voice; for then, it seems, I am obliged to Heaven alone for my flights and my music; and Providence would never have bestowed on me two such gifts without designing them for the noblest ends. I visit, indeed, all the flowers and blossoms of the field and garden, but whatever I collect thence enriches myself without the least injury to their beauty, their smell, or their ta",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_1,0,1700_The_Battle_of_the_Bo
", , he obtained from Lord Berkeley the vicarage of Laracor with the living of Rathbeggan, also in the diocese of Meath. In the beginning of Esther Johnson, to whom Sir William Temple had bequeathed a leasehold farm in Wicklow, came with an elder friend, Miss Dingley, and settled in Laracor to be near Swift. During one of the visits to London, made from Laracor, Swift attacked the false pretensions of astrologers by that prediction of the death of Mr. Partridge, a prophetic almanac maker, of which he described the Accomplishment so clearly that Partridge had much ado to get credit for being ali",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_2,0,1700_The_Battle_of_the_Bo
" time with a supercilious and impatient silence, full of anger and contempt for those who are talking; at length of a sudden demand audience; decide the matter in a short dogmatical way; then withdraw within himself again, and vouchsafe to talk no more, until his spirits circulate again to the same point. There are some faults in conversation which none are so subject to as the men of wit, nor ever so much as when they are with each other. If they have opened their mouths without endeavouring to say a witty thing, they think it is so many words lost. It is a torment to the hearers, as much as ",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_3,0,1700_The_Battle_of_the_Bo
"ow offer the world, I forbore to publish them till I had perused the several almanacks for the year we are now entered on. I find them all in the usual strain, and I beg the reader will compare their manner with mine. And here I make bold to tell the world that I lay the whole credit of my art upon the truth of these predictions; and I will be content that Partridge, and the rest of his clan, may hoot me for a cheat and impostor if I fail in any single particular of moment. I believe any man who reads this paper will look upon me to be at least a person of as much honesty and understanding as ",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_4,0,1700_The_Battle_of_the_Bo
" of leaves, and full of boughs; but now in vain does the busy art of man pretend to vie with nature, by tying that withered bundle of twigs to its sapless trunk; it is now at best but the reverse of what it was, a tree turned upside-down, the branches on the earth, and the root in the air; it is now handled by every dirty wench, condemned to do her drudgery, and, by a capricious kind of fate, destined to make other things clean, and be nasty itself; at length, worn to the stumps in the service of the maids, it is either thrown out of doors or condemned to the last use--of kindling a fire. When",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_5,0,1700_The_Battle_of_the_Bo
", ere his mouth had kissed the liquid crystal, Apollo came, and in the channel held his shield betwixt the Modern and the fountain, so that he drew up nothing but mud. For, although no fountain on earth can compare with the clearness of Helicon, yet there lies at bottom a thick sediment of slime and mud; for so Apollo begged of Jupiter, as a punishment to those who durst attempt to taste it with unhallowed lips, and for a lesson to all not to draw too deep or far from the spring. At the fountain-head Wotton discerned two heroes; the one he could not distinguish, but the other was soon known fo",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_6,0,1700_The_Battle_of_the_Bo
"and stature, but without either arms, courage, or discipline. In the last place came infinite swarms of calones, a disorderly rout led by L'Estrange; rogues and ragamuffins, that follow the camp for nothing but the plunder, all without coats to cover them. The army of the Ancients was much fewer in number; Homer led the horse, and Pindar the light-horse; Euclid was chief engineer; Plato and Aristotle commanded the bowmen; Herodotus and Livy the foot; Hippocrates, the dragoons; the allies, led by Vossius and Temple, brought up the rear. All things violently tending to a decisive battle, Fame, w",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_7,0,1700_The_Battle_of_the_Bo
"t will lie on the watch to hook in their own praise. They will call a witness to remember they always foretold what would happen in such a case, but none would believe them; they advised such a man from the beginning, and told him the consequences just as they happened, but he would have his own way. Others make a vanity of telling their faults. They are the strangest men in the world; they cannot dissemble; they own it is a folly; they have lost abundance of advantages by it; but, if you would give them the world, they cannot help it; there is something in their nature that abhors insincerity",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_8,0,1700_The_Battle_of_the_Bo
"e the spider was adventured out, when, beholding the chasms, the ruins, and dilapidations of his fortress, he was very near at his wit's end; he stormed and swore like a madman, and swelled till he was ready to burst. At length, casting his eye upon the bee, and wisely gathering causes from events (for they know each other by sight), ""A plague split you,"" said he; ""is it you, with a vengeance, that have made this litter here; could not you look before you, and be d---d? Do you think I have nothing else to do (in the devil's name) but to mend and repair after you?"" ""Good words, friend,"" said th",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_9,0,1700_The_Battle_of_the_Bo
"o get rid of a phrase which the world has once grown fond of, though the occasion that first produced it be entirely taken away. For some years past, if a man had but an ill- favoured nose, the deep thinkers of the age would, some way or other contrive to impute the cause to the prejudice of his education. From this fountain were said to be derived all our foolish notions of justice, piety, love of our country; all our opinions of God or a future state, heaven, hell, and the like; and there might formerly perhaps have been some pretence for this charge. But so effectual care hath been since ta",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_10,0,1700_The_Battle_of_the_Bo
" which the rest are condemned to silence, and to listen while these two are refreshing each other's memory with the arch tricks and passages of themselves and their comrades. I know a great officer of the army, who will sit for some time with a supercilious and impatient silence, full of anger and contempt for those who are talking; at length of a sudden demand audience; decide the matter in a short dogmatical way; then withdraw within himself again, and vouchsafe to talk no more, until his spirits circulate again to the same point. There are some faults in conversation which none are so subje",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_11,0,1700_The_Battle_of_the_Bo
"aim their part, And join to fortify your heart. For virtue in her daily race, Like Janus, bears a double face. Look back with joy where she has gone, And therefore goes with courage on. She at your sickly couch will wait, And guide you to a better state. O then, whatever heav'n intends, Take pity on your pitying friends; Nor let your ills affect your mind, To fancy they can be unkind; Me, surely me, you ought to spare, Who gladly would your sufferings share; Or give my scrap of life to you, And think it far beneath your due; You to whose care so oft I owe That I'm alive to tell you so. TO STEL",1700,"The Battle of the Books, and other Short Pieces",1700_The_Battle_of_the_Bo_passage_12,0,1700_The_Battle_of_the_Bo
